导弹高度,导弹距离,导弹速度,导弹过载,导弹经度,导弹纬度,弹目距离,目标经度,目标纬度,目标高度,目标速度
2261.5436,2412.3602,729.8533,0,2.0251,0.2887,195678.5751,2.0422,0.3145,24877.1642,680
2291.9241,2445.9622,734.0673,0,2.0251,0.2887,195633.85,2.0422,0.3145,24877.1642,680
2322.4778,2479.7577,738.0487,0,2.0251,0.2887,195589.0336,2.0422,0.3145,24876.4852,680
2353.1919,2513.7347,741.7978,0,2.0251,0.2888,195544.1272,2.0422,0.3145,24875.8063,680
2384.0534,2547.881,745.3147,0,2.0251,0.2888,195499.1322,2.0422,0.3145,24875.1276,680
2415.049,2582.184,748.5673,0,2.0251,0.2888,195454.0495,2.0422,0.3145,24874.4489,680
2446.1603,2616.6259,751.3834,0,2.0251,0.2888,195408.883,2.0422,0.3145,24873.7704,680
2477.3644,2651.1841,753.7384,0,2.0251,0.2888,195363.6386,2.0422,0.3145,24873.092,680
2508.6396,2685.8369,755.7132,0,2.0251,0.2888,195318.3215,2.0422,0.3145,24872.4137,680
2539.9678,2720.5673,757.38,0,2.0251,0.2888,195272.9345,2.0422,0.3145,24871.7355,680
2571.3316,2755.3588,758.6738,0,2.0251,0.2888,195227.4799,2.0422,0.3145,24871.0574,680
2602.7038,2790.1843,759.2468,0,2.0251,0.2888,195181.9654,2.0422,0.3145,24870.3795,680
2634.0486,2825.007,759.0515,0,2.0251,0.2888,195136.4039,2.0422,0.3145,24869.7017,680
2665.3296,2859.7897,758.0915,0,2.0251,0.2888,195090.8086,2.0422,0.3145,24869.024,680
2696.5111,2894.4955,756.3705,0,2.0251,0.2888,195045.1925,2.0422,0.3145,24868.3464,680
2727.5575,2929.0881,753.9612,0.7742,2.0251,0.2888,194999.5686,2.0422,0.3145,24867.6689,680
2758.4478,2963.547,751.4548,0.7694,2.0251,0.2888,194953.9414,2.0422,0.3145,24866.9915,680
2789.1773,2997.8701,748.9668,0.7626,2.0251,0.2888,194908.3056,2.0422,0.3145,24866.3142,680
2819.7423,3032.0562,746.4969,0.754,2.0251,0.2888,194862.6556,2.0422,0.3145,24865.6371,680
2850.1387,3066.1041,744.0452,0.7438,2.0251,0.2888,194816.9858,2.0422,0.3145,24864.9601,680
2880.3628,3100.0126,741.6113,0.7322,2.0251,0.2888,194771.2906,2.0422,0.3145,24864.2832,680
2910.4104,3133.7801,739.1952,0.7195,2.0251,0.2888,194725.5646,2.0422,0.3145,24863.6064,680
2940.2775,3167.4055,736.7968,0.7056,2.0251,0.2888,194679.8025,2.0422,0.3145,24862.9297,680
2969.96,3200.8871,734.4158,0.6907,2.0251,0.2888,194633.999,2.0422,0.3145,24862.2532,680
2999.4538,3234.2236,732.0523,0.675,2.0252,0.2888,194588.1492,2.0422,0.3145,24861.5767,680
3028.7547,3267.4133,729.7059,0.6583,2.0252,0.2888,194542.248,2.0422,0.3145,24860.9004,680
3057.8585,3300.4546,727.3766,0.6409,2.0252,0.2888,194496.2908,2.0422,0.3145,24860.2242,680
3086.7611,3333.346,725.0643,0.6228,2.0252,0.2888,194450.2729,2.0422,0.3144,24859.5481,680
3115.458,3366.0856,722.7689,0.6039,2.0252,0.2888,194404.1901,2.0422,0.3144,24858.8721,680
3143.9452,3398.6718,720.4902,0.5844,2.0252,0.2888,194358.038,2.0422,0.3144,24858.1963,680
3172.2184,3431.1028,718.228,0.5642,2.0252,0.2888,194311.8127,2.0422,0.3144,24857.5205,680
3200.2732,3463.3766,715.9823,0.5434,2.0252,0.2888,194265.5105,2.0421,0.3144,24856.8449,680
3228.1055,3495.4915,713.753,0.522,2.0252,0.2888,194219.1276,2.0421,0.3144,24856.1694,680
3255.7111,3527.4455,711.5399,0.5,2.0252,0.2888,194172.6609,2.0421,0.3144,24855.494,680
3283.0858,3559.2367,709.343,0.4774,2.0252,0.2888,194126.1072,2.0421,0.3144,24854.8187,680
3310.2253,3590.8632,707.162,0.4543,2.0252,0.2888,194079.4636,2.0421,0.3144,24854.1435,680
3337.1258,3622.323,704.9969,0.4306,2.0252,0.2888,194032.7275,2.0421,0.3144,24853.4685,680
3363.783,3653.614,702.8476,0.4064,2.0252,0.2888,193985.8966,2.0421,0.3144,24852.7936,680
3390.193,3684.7344,700.714,0.3816,2.0252,0.2888,193938.9687,2.0421,0.3144,24852.1187,680
3416.352,3715.6822,698.5959,0.3563,2.0252,0.2888,193891.9421,2.0421,0.3144,24851.444,680
3442.2561,3746.4553,696.4932,0.3305,2.0252,0.2888,193844.815,2.0421,0.3144,24850.7695,680
3467.9017,3777.0519,694.4059,0.3043,2.0252,0.2888,193797.5862,2.0421,0.3144,24850.095,680
3493.2851,3807.4701,692.3338,0.2775,2.0252,0.2888,193750.2546,2.0421,0.3144,24849.4206,680
3518.4029,3837.7079,690.2769,0.2504,2.0252,0.2888,193702.8193,2.0421,0.3144,24848.7464,680
3543.2518,3867.7635,688.2349,0.2228,2.0252,0.2888,193655.2799,2.0421,0.3144,24848.0723,680
3567.8287,3897.6352,686.2078,0.1948,2.0252,0.2888,193607.6359,2.0421,0.3144,24847.3983,680
3592.1304,3927.3213,684.1956,0.1665,2.0252,0.2888,193559.8874,2.0421,0.3144,24846.7244,680
3616.1542,3956.8202,682.198,0.138,2.0252,0.2888,193512.0346,2.0421,0.3144,24846.0506,680
3639.8974,3986.1302,680.215,0.1093,2.0252,0.2888,193464.0779,2.0421,0.3144,24845.377,680
3663.3576,4015.25,678.2464,0.0807,2.0252,0.2889,193416.0179,2.0421,0.3144,24844.7034,680
3686.5324,4044.1782,676.2922,0.0532,2.0252,0.2889,193367.8557,2.0421,0.3144,24844.03,680
3709.4199,4072.9136,674.3523,0.0306,2.0252,0.2889,193319.5923,2.0421,0.3144,24843.3567,680
3732.0183,4101.455,672.4264,0.0301,2.0252,0.2889,193271.2291,2.0421,0.3144,24842.6835,680
3754.3258,4129.8015,670.5146,0.0527,2.0252,0.2889,193222.7676,2.0421,0.3144,24842.0104,680
3776.3414,4157.9522,668.6167,0.0812,2.0252,0.2889,193174.2097,2.0421,0.3144,24841.3374,680
3798.0637,4185.9065,666.7326,0.1114,2.0252,0.2889,193125.5573,2.0421,0.3143,24840.6646,680
3819.4921,4213.6638,664.8622,0.1422,2.0252,0.2889,193076.8125,2.0421,0.3143,24839.9919,680
3840.626,4241.2236,663.0053,0.1735,2.0252,0.2889,193027.9777,2.0421,0.3143,24839.3193,680
3861.465,4268.5859,661.1619,0.2049,2.0252,0.2889,192979.0553,2.0421,0.3143,24838.6468,680
3882.0093,4295.7506,659.3317,0.2366,2.0252,0.2889,192930.0479,2.0421,0.3143,24837.9744,680
3902.2591,4322.7178,657.5148,0.2683,2.0252,0.2889,192880.9584,2.0421,0.3143,24837.3021,680
3922.215,4349.4878,655.7109,0.3001,2.0252,0.2889,192831.7896,2.0421,0.3143,24836.63,680
